track_name,track_artist,valence,energy,track_album_name,track_href,track_album_release_date,track_popularity
Basket Case,Green Day,0.781,0.943,Dookie,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,1994-02-01,80
Under the Bridge,Red Hot Chili Peppers,0.458,0.345,Blood Sugar Sex Magik (Deluxe Edition),https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,1991-09-24,82
White Wedding - Pt. 1,Billy Idol,0.728,0.814,Billy Idol,https://api.spotify.com/v1/tracks/1gzIbdFnGJ226LTl0Cn2SX,1982-01-01,70
You Shook Me All Night Long,AC/DC,0.755,0.767,Back In Black,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo,1980-07-25,81
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,0.931,0.863,Out Of Our Heads,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,1965-07-30,76
Starman - 2012 Remaster,David Bowie,0.549,0.449,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),https://api.spotify.com/v1/tracks/0pQskrTITgmCMyr85tb9qq,1972-06-06,76
Whole Lotta Love - 1990 Remaster,Led Zeppelin,0.422,0.902,Led Zeppelin II (1994 Remaster),https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8,1969-10-22,72
Riders on the Storm,The Doors,0.716,0.722,L.A. Woman,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe,1971-04-19,70
Even Flow,Pearl Jam,0.265,0.944,Ten,https://api.spotify.com/v1/tracks/6QewNVIDKdSl8Y3ycuHIei,1991-08-27,77
Born in the U.S.A.,Bruce Springsteen,0.584,0.952,Born In The U.S.A.,https://api.spotify.com/v1/tracks/0dOg1ySSI7NkpAe89Zo0b9,1984-06-04,72
Bitter Sweet Symphony - Remastered 2016,The Verve,0.518,0.917,Urban Hymns (Remastered 2016),https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw,1997-09-29,79
